59,202 HARLOW ST,Bangor,ME,04401,,
86,2276 WILTON DR,Fort Lauderdale,FL,33305,,
87,203 SOUTH WALNUT ST,Florence,AL,35630,,
88,108 CENTER POINTE DR,Clarksville,TN,37040,,
89,1800 OLD TROY RD,Union City,TN,38261,,
90,931 OLD SMITHVILLE HWY,McMinnville,TN,37110,,
91,1301 GREENE STREET,Marietta,OH,45750,,
92,602 SOUTH MICHIGAN ST,South Bend,IN,46601,,
93,500 NORTH A STREET,Richmond,IN,47374,,
94,317 SOUTH DRAKE ROAD,Kalamazoo,MI,49009,,
95,105 Amity Way,Wayne,PA,19087,,
96,305 W 45th St,New York,NY,10036,,
97,11839 Federalist Way,Fairfax,VA,22030,,
98,400 Monroe St,Hoboken,NJ,07030,,
99,101 West End Avenue,New York,NY,10023,,
100,2900 4TH AVE,Billings,MT,59101,,
101,158 N SCOTT STREET,Joliet,IL,60432,,
102,1207 NETWORK CENTRE DR,Effingham,IL,62401,,
103,3555 SOUTHERN HILLS DR6,Sioux City,IA,51106,,
106,415 VALLEY VIEW DR,Scottsbluff,NE,69361,,
4,1010 Jones Rd,Little Town,NC,27272,,
81,145 ROWAN STREET,Fayetteville,NC,28301,,
82,1420 MCCARTHY BLVD,New Bern,NC,28562,,
83,115 ENTERPRISE COURT,Greenwood,SC,29649,,
85,97 WEST OAK AVE,Panama City,FL,32401,,
104,300 E 3RD ST,North Platte,NE,69101,,
105,115 N WEBB RD,Grand Island,NE,68803,,
1,5050 Saturn Dr,Rapid City,SD,57701,,
2,4325 Grassy Field Drive,Raleigh,NC,27610,,
3,302 N. Pine Street,Wendell,NC,27591,,
56,93 NORTH 9TH STREET,Brooklyn,NY,11211,,
57,380 WESTMINSTER ST,Providence,RI,02903,,
58,177 MAIN STREET,Littleton,NH,03561,,
60,46 FRONT STREET,Waterville,ME,04901,,
61,22 SUSSEX ST,Hackensack,NJ,07601,,
62,75 OAK STREET,Patchogue,NY,11772,,
63,1 CLINTON AVE,Albany,NY,12207,,
64,7242 ROUTE 9,Plattsburgh,NY,12901,,
65,520 5TH AVE,McKeesport,PA,15132,,
66,122 W 3RD STREET,Greensburg,PA,15601,,
67,901 UNIVERSITY DR,State College,PA,16801,,
68,240 W 3RD ST,Williamsport,PA,17701,,
69,41 N 4TH ST,Allentown,PA,18102,,
70,2221 W. MARKET STREET,Pottsville,PA,17901,,
71,337 BRIGHTSEAT ROAD,Hyattsville,MD,20785,,
72,101 CHESAPEAKE BLVD,Elkton,MD,21921,,
73,2875 SABRE ST,Virginia Beach,VA,23452,,
74,324 COMMERCE ROAD,Clarksville,VA,23927,,
75,1480 EAST MAIN STREET,Wytheville,VA,24382,,
76,116 N JEFFERSON STREET,Roanoke,VA,24016,,
77,50 MCDOWELL STREET,Welch,WV,24801,,
78,146 EAST FIRST AVE,Williamson,WV,25661,,
79,1925 E MAIN ST,Albemarle,NC,28001,,
80,1013 SPRING LANE,Sanford,NC,27330,,
84,732 W 2ND ST,Tifton,GA,31793,,
